Result file,00-01.res,,,
Reference image,img_0001.png,,,
Strain gage,1,,,
Small strain,,,,
Position X [pixel],Position Y [pixel], Orientation, Length [pixel], Width [pixel]
537,1340,90,92,68
Filename,Step,Longitudinal strain [],Transverse strain [],Shear strain []
img_0002.png,1,2.60E-05,7.09E-05,-1.13E-04
img_0003.png,2,9.64E-05,1.93E-04,-1.56E-04
img_0004.png,3,1.28E-04,2.79E-04,-3.04E-05
img_0005.png,4,3.07E-04,2.63E-04,1.17E-04
img_0006.png,5,3.12E-04,1.98E-04,5.24E-05
img_0007.png,6,5.13E-04,1.83E-04,2.77E-05
img_0008.png,7,5.31E-04,2.37E-04,-4.37E-05
img_0009.png,8,5.10E-04,1.58E-04,-1.29E-04
img_0010.png,9,5.99E-04,3.51E-04,-1.28E-04
img_0011.png,10,5.91E-04,4.91E-04,-5.18E-05
img_0012.png,11,8.18E-04,4.14E-04,8.34E-05
img_0013.png,12,9.77E-04,3.86E-04,1.44E-04
img_0014.png,13,7.73E-04,2.07E-04,3.26E-05
img_0015.png,14,7.16E-04,1.46E-04,-3.38E-05
img_0016.png,15,7.00E-04,9.72E-05,-9.11E-05
img_0017.png,16,7.93E-04,1.41E-04,-1.62E-04
img_0018.png,17,9.74E-04,2.51E-04,-8.65E-05
img_0019.png,18,1.15E-03,2.57E-04,1.72E-05
img_0020.png,19,1.27E-03,1.52E-04,1.19E-04
img_0021.png,20,1.18E-03,1.25E-04,1.48E-04
img_0022.png,21,9.17E-04,1.04E-04,7.12E-05
img_0023.png,22,8.99E-04,3.51E-05,-1.41E-05
img_0024.png,23,8.31E-04,6.17E-05,-7.54E-05
img_0025.png,24,1.05E-03,6.40E-05,-2.58E-05
img_0026.png,25,1.41E-03,4.84E-05,-4.15E-05
img_0027.png,26,1.81E-03,2.59E-05,1.24E-04
img_0028.png,27,1.74E-03,5.14E-06,9.80E-05
img_0029.png,28,1.53E-03,-4.31E-05,7.71E-05
img_0030.png,29,1.30E-03,-1.27E-04,2.51E-05
img_0031.png,30,1.17E-03,-1.59E-04,-1.03E-06
img_0032.png,31,1.32E-03,-1.18E-04,3.92E-05
img_0033.png,32,1.49E-03,-9.71E-06,4.63E-05
img_0034.png,33,1.66E-03,6.82E-05,8.00E-05
img_0035.png,34,1.87E-03,-6.02E-05,1.05E-04
img_0036.png,35,1.74E-03,-9.74E-05,1.90E-05
img_0037.png,36,1.58E-03,-5.66E-05,-5.32E-05
img_0038.png,37,1.45E-03,-3.15E-05,-1.48E-05
img_0039.png,38,1.57E-03,-3.22E-05,9.26E-05
img_0040.png,39,1.82E-03,-1.30E-04,2.50E-04
img_0041.png,40,2.08E-03,-3.01E-04,2.68E-04
img_0042.png,41,1.86E-03,-3.33E-04,6.86E-05
img_0043.png,42,1.59E-03,-2.30E-04,-9.88E-05
img_0044.png,43,1.76E-03,-4.62E-05,5.18E-05
img_0045.png,44,1.97E-03,-4.11E-05,3.75E-04
img_0046.png,45,1.70E-03,-2.30E-04,2.33E-04
img_0047.png,46,1.49E-03,-2.74E-04,4.68E-05
img_0048.png,47,1.70E-03,-1.60E-04,6.81E-05
img_0049.png,48,2.09E-03,-8.72E-05,4.05E-04
img_0050.png,49,1.79E-03,2.56E-06,4.25E-04
img_0051.png,50,1.58E-03,-2.25E-05,2.52E-04
img_0052.png,51,1.67E-03,-2.29E-04,2.20E-04
img_0053.png,52,1.85E-03,-2.29E-04,2.90E-04
img_0054.png,53,1.81E-03,-5.35E-05,2.67E-04
img_0055.png,54,1.54E-03,-4.08E-05,2.51E-04
img_0056.png,55,1.60E-03,-1.61E-04,2.43E-04
img_0057.png,56,1.78E-03,-2.12E-04,3.74E-04
img_0058.png,57,1.73E-03,-2.32E-05,6.23E-05
img_0059.png,58,1.63E-03,2.63E-05,2.11E-05
img_0060.png,59,1.65E-03,-2.19E-04,3.03E-04
img_0061.png,60,1.70E-03,1.56E-05,6.81E-04
img_0062.png,61,1.31E-03,-1.42E-05,4.27E-04
img_0063.png,62,1.43E-03,-3.54E-05,3.53E-04
img_0064.png,63,1.63E-03,-1.50E-04,6.62E-04
img_0065.png,64,1.75E-03,4.62E-05,8.57E-04
img_0066.png,65,1.51E-03,-6.81E-05,3.87E-04
img_0067.png,66,1.46E-03,-2.16E-04,1.85E-04
img_0068.png,67,1.69E-03,-3.23E-04,3.59E-04
img_0069.png,68,1.72E-03,5.36E-05,4.66E-04
img_0070.png,69,1.52E-03,1.45E-04,2.80E-04
img_0071.png,70,1.49E-03,7.91E-05,2.83E-04
img_0072.png,71,1.58E-03,-2.27E-04,7.41E-04
img_0073.png,72,1.41E-03,-2.53E-04,4.61E-04
img_0074.png,73,9.87E-04,-1.51E-04,1.84E-04
img_0075.png,74,8.63E-04,-7.26E-05,2.83E-04
img_0076.png,75,1.41E-03,-3.08E-04,6.13E-04
img_0077.png,76,2.21E-03,-8.82E-04,6.36E-04
img_0078.png,77,3.07E-03,-1.56E-03,2.16E-04
img_0079.png,78,4.30E-03,-1.91E-03,8.21E-05
img_0080.png,79,6.46E-03,-2.59E-03,4.66E-04
img_0081.png,80,8.38E-03,-3.45E-03,4.92E-04
img_0082.png,81,1.02E-02,-4.18E-03,3.67E-04
img_0083.png,82,1.17E-02,-4.53E-03,4.07E-04
img_0084.png,83,1.37E-02,-4.97E-03,8.22E-04
img_0085.png,84,1.57E-02,-5.51E-03,1.07E-03
img_0086.png,85,1.75E-02,-6.02E-03,9.87E-04
img_0087.png,86,1.91E-02,-6.42E-03,8.83E-04
img_0088.png,87,2.07E-02,-6.89E-03,1.02E-03
img_0089.png,88,2.26E-02,-7.35E-03,1.25E-03
img_0090.png,89,2.42E-02,-7.99E-03,1.28E-03
img_0091.png,90,2.60E-02,-8.57E-03,1.15E-03
img_0092.png,91,2.76E-02,-9.18E-03,1.03E-03
img_0093.png,92,2.92E-02,-9.68E-03,1.19E-03
img_0094.png,93,3.13E-02,-1.02E-02,1.33E-03
img_0095.png,94,3.35E-02,-1.08E-02,1.45E-03
img_0096.png,95,3.55E-02,-1.12E-02,1.38E-03
img_0097.png,96,3.78E-02,-1.18E-02,1.34E-03
img_0098.png,97,4.01E-02,-1.21E-02,1.44E-03
img_0099.png,98,4.26E-02,-1.25E-02,1.61E-03
img_0100.png,99,4.47E-02,-1.30E-02,1.70E-03
img_0101.png,100,4.65E-02,-1.35E-02,1.65E-03
img_0102.png,101,4.81E-02,-1.40E-02,1.73E-03
img_0103.png,102,4.98E-02,-1.43E-02,1.78E-03
img_0104.png,103,5.15E-02,-1.47E-02,1.81E-03
img_0105.png,104,5.29E-02,-1.51E-02,1.81E-03
img_0106.png,105,5.40E-02,-1.54E-02,1.80E-03
img_0107.png,106,5.47E-02,-1.56E-02,1.75E-03
img_0108.png,107,5.54E-02,-1.59E-02,1.75E-03
img_0109.png,108,5.58E-02,-1.60E-02,1.72E-03
img_0110.png,109,5.61E-02,-1.62E-02,1.64E-03
img_0111.png,110,5.64E-02,-1.63E-02,1.60E-03
img_0112.png,111,5.64E-02,-1.64E-02,1.58E-03
img_0113.png,112,5.64E-02,-1.65E-02,1.65E-03
img_0114.png,113,5.64E-02,-1.66E-02,1.62E-03
img_0115.png,114,5.64E-02,-1.66E-02,1.65E-03
img_0116.png,115,5.63E-02,-1.67E-02,1.65E-03
img_0117.png,116,5.63E-02,-1.67E-02,1.66E-03
img_0118.png,117,5.64E-02,-1.67E-02,1.63E-03
img_0119.png,118,5.64E-02,-1.67E-02,1.64E-03
img_0120.png,119,5.65E-02,-1.68E-02,1.63E-03
img_0121.png,120,5.66E-02,-1.68E-02,1.65E-03
img_0122.png,121,5.68E-02,-1.68E-02,1.59E-03
img_0123.png,122,5.67E-02,-1.67E-02,1.63E-03
img_0124.png,123,5.67E-02,-1.67E-02,1.58E-03
img_0125.png,124,5.68E-02,-1.67E-02,1.54E-03
img_0126.png,125,5.68E-02,-1.67E-02,1.53E-03
img_0127.png,126,5.69E-02,-1.67E-02,1.52E-03
img_0128.png,127,5.69E-02,-1.69E-02,1.56E-03
img_0129.png,128,5.69E-02,-1.69E-02,1.58E-03
img_0130.png,129,5.69E-02,-1.68E-02,1.54E-03
img_0131.png,130,5.71E-02,-1.68E-02,1.57E-03
img_0132.png,131,5.70E-02,-1.69E-02,1.54E-03
img_0133.png,132,5.71E-02,-1.68E-02,1.53E-03
img_0134.png,133,5.70E-02,-1.67E-02,1.53E-03
img_0135.png,134,5.71E-02,-1.68E-02,1.53E-03
img_0136.png,135,5.72E-02,-1.67E-02,1.47E-03
img_0137.png,136,5.72E-02,-1.67E-02,1.46E-03
img_0138.png,137,5.72E-02,-1.67E-02,1.46E-03
img_0139.png,138,5.74E-02,-1.67E-02,1.47E-03
img_0140.png,139,5.74E-02,-1.67E-02,1.46E-03
img_0141.png,140,5.74E-02,-1.67E-02,1.42E-03
img_0142.png,141,5.74E-02,-1.67E-02,1.40E-03
img_0143.png,142,5.75E-02,-1.67E-02,1.45E-03
img_0144.png,143,5.75E-02,-1.67E-02,1.42E-03
img_0145.png,144,5.75E-02,-1.68E-02,1.42E-03
img_0146.png,145,5.75E-02,-1.67E-02,1.42E-03
img_0147.png,146,5.76E-02,-1.67E-02,1.41E-03
