Result file;00-03.res
Reference image;img_0001.png
Strain gage;1
Small strain
Position X [pixel];Position Y [pixel]; Orientation; Length [pixel]; Width [pixel]
570.000000;1400.000000;90.000000;64.000000;50.000000
Filename;Step;Longitudinal strain [];Transverse strain [];Shear strain []
img_0002.png;1;0.0000e+00;-0.0000e+00;-5.271e-05
img_0003.png;2;5.0000e-05;-1.5000e-05;3.019e-05
img_0004.png;3;1.3217e-04;-3.9650e-05;3.775e-05
img_0005.png;4;2.0517e-04;-6.1550e-05;4.109e-05
img_0006.png;5;2.9050e-04;-8.7150e-05;1.244e-04
img_0007.png;6;3.7650e-04;-1.1295e-04;1.882e-04
img_0008.png;7;4.5983e-04;-1.3795e-04;2.265e-04
img_0009.png;8;5.3950e-04;-1.6185e-04;1.546e-04
img_0010.png;9;6.1650e-04;-1.8495e-04;8.234e-05
img_0011.png;10;6.9133e-04;-2.0740e-04;2.822e-05
img_0012.png;11;7.6350e-04;-2.2905e-04;-5.505e-05
img_0013.png;12;8.2983e-04;-2.4895e-04;4.737e-05
img_0014.png;13;8.8100e-04;-2.6430e-04;1.464e-04
img_0015.png;14;9.3050e-04;-2.7915e-04;1.791e-04
img_0016.png;15;9.7900e-04;-2.9370e-04;1.645e-04
img_0017.png;16;1.0260e-03;-3.0780e-04;1.103e-04
img_0018.png;17;1.0723e-03;-3.2170e-04;1.646e-05
img_0019.png;18;1.1180e-03;-3.3540e-04;-4.839e-05
img_0020.png;19;1.1632e-03;-3.4895e-04;-3.495e-05
img_0021.png;20;1.2085e-03;-3.6255e-04;-5.612e-05
img_0022.png;21;1.2540e-03;-3.7620e-04;1.040e-05
img_0023.png;22;1.2970e-03;-3.8910e-04;1.224e-04
img_0024.png;23;1.3387e-03;-4.0160e-04;2.096e-04
img_0025.png;24;1.3797e-03;-4.1390e-04;1.733e-04
img_0026.png;25;1.4195e-03;-4.2585e-04;-9.331e-06
img_0027.png;26;1.4572e-03;-4.3715e-04;3.971e-05
img_0028.png;27;1.4938e-03;-4.4815e-04;1.655e-04
img_0029.png;28;1.5282e-03;-4.5845e-04;-6.472e-06
img_0030.png;29;1.5592e-03;-4.6775e-04;4.211e-05
img_0031.png;30;1.5872e-03;-4.7615e-04;3.015e-04
img_0032.png;31;1.6130e-03;-4.8390e-04;3.158e-04
