Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	45-02
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1018.0
Rm(MPa)	303
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	3.181
Rp(MPa)	1
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
0	0.029	0.0000	0.002	0.938	0.000	0.938	0.000
0.997	0.336	0.0000	0.018	10.990	0.000	10.990	0.000
1.998	0.878	0.0000	0.048	28.699	0.000	28.699	0.000
2.996	1.441	0.0000	0.082	47.098	0.000	47.098	0.000
3.995	1.898	0.0000	0.115	62.039	0.000	62.039	0.000
4.994	2.287	0.0000	0.148	74.722	0.000	74.722	0.000
5.993	2.659	0.0000	0.182	86.908	0.000	86.908	0.000
6.991	3.024	0.0000	0.215	98.833	0.000	98.833	0.000
7.991	3.379	0.0000	0.248	110.412	0.000	110.412	0.000
8.991	3.724	0.0000	0.282	121.693	0.000	121.693	0.000
9.989	4.058	0.0000	0.315	132.614	0.000	132.614	0.000
10.988	4.385	0.0000	0.348	143.291	0.000	143.291	0.000
11.988	4.703	0.0000	0.381	153.680	0.000	153.680	0.000
12.984	5.016	0.0000	0.415	163.925	0.000	163.925	0.000
13.985	5.328	0.0000	0.448	174.114	0.000	174.114	0.000
14.984	5.641	0.0000	0.481	184.337	0.000	184.337	0.000
15.983	5.950	0.0000	0.515	194.451	0.000	194.451	0.000
16.983	6.264	0.0000	0.548	204.703	0.000	204.703	0.000
17.981	6.574	0.0000	0.581	214.846	0.000	214.846	0.000
18.981	6.880	0.0000	0.615	224.846	0.000	224.846	0.000
19.979	7.175	0.0000	0.648	234.474	0.000	234.474	0.000
20.979	7.372	0.0000	0.681	240.902	0.000	240.902	0.000
21.979	7.583	0.0000	0.714	247.824	0.000	247.824	0.000
22.977	7.782	0.0000	0.748	254.301	0.000	254.301	0.000
23.974	7.956	0.0000	0.781	259.990	0.000	259.990	0.000
24.975	8.110	0.0000	0.814	265.042	0.000	265.042	0.000
25.974	8.002	0.0000	0.848	261.497	0.000	261.497	0.000
26.973	7.866	0.0000	0.881	257.059	0.000	257.059	0.000
27.971	7.709	0.0000	0.914	251.918	0.000	251.918	0.000
28.971	7.556	0.0000	0.948	246.918	0.000	246.918	0.000
29.968	7.485	0.0000	0.981	244.605	0.000	244.605	0.000
30.967	7.475	0.0000	1.014	244.281	0.000	244.281	0.000
31.966	7.480	0.0000	1.047	244.435	0.000	244.435	0.000
32.966	7.485	0.0000	1.081	244.601	0.000	244.601	0.000
33.967	7.482	0.0000	1.114	244.513	0.000	244.513	0.000
34.965	7.494	0.0000	1.147	244.889	0.000	244.889	0.000
35.964	7.512	0.0000	1.181	245.490	0.000	245.490	0.000
36.963	7.539	0.0000	1.214	246.363	0.000	246.363	0.000
37.96	7.561	0.0000	1.247	247.098	0.000	247.098	0.000
38.96	7.569	0.0000	1.281	247.346	0.000	247.346	0.000
39.96	7.576	0.0000	1.314	247.598	0.000	247.598	0.000
40.958	7.583	0.0000	1.347	247.804	0.000	247.804	0.000
41.957	7.596	0.0000	1.380	248.219	0.000	248.219	0.000
42.957	7.609	0.0000	1.414	248.663	0.000	248.663	0.000
43.957	7.621	0.0000	1.447	249.042	0.000	249.042	0.000
44.954	7.622	0.0000	1.480	249.088	0.000	249.088	0.000
45.955	7.589	0.0000	1.514	248.013	0.000	248.013	0.000
46.951	7.565	0.0000	1.547	247.229	0.000	247.229	0.000
47.951	7.560	0.0000	1.580	247.059	0.000	247.059	0.000
48.951	7.567	0.0000	1.614	247.301	0.000	247.301	0.000
49.949	7.584	0.0000	1.647	247.830	0.000	247.830	0.000
50.95	7.603	0.0000	1.680	248.458	0.000	248.458	0.000
51.948	7.620	0.0000	1.713	249.026	0.000	249.026	0.000
52.945	7.633	0.0000	1.747	249.438	0.000	249.438	0.000
