Iteration,sigma0,C1,gamma1,C2,gamma2,NRMSE,Status
1,300.000000,800.000000,400.000000,200.000000,150.000000,0.07218608,ok
2,345.000000,800.000000,400.000000,200.000000,150.000000,0.07435703,ok
3,300.000000,920.000000,400.000000,200.000000,150.000000,0.07184163,ok
4,300.000000,800.000000,460.000000,200.000000,150.000000,0.07248622,ok
5,300.000000,800.000000,400.000000,230.000000,150.000000,0.07196337,ok
6,300.000000,800.000000,400.000000,200.000000,172.500000,0.07237055,ok
7,255.000000,848.000000,424.000000,212.000000,159.000000,0.14738132,ok
8,322.500000,812.000000,406.000000,203.000000,152.250000,0.05714875,ok
9,309.000000,852.800000,342.400000,213.200000,159.900000,0.06231725,ok
10,312.600000,873.920000,379.360000,218.480000,132.360000,0.05973641,ok
11,317.640000,903.488000,371.104000,225.872000,147.804000,0.05760680,ok
12,324.696000,944.883200,359.545600,194.220800,146.925600,0.05766752,ok
13,334.574400,834.836480,343.363840,221.909120,145.695840,0.06349630,ok
14,325.930800,856.127360,357.522880,216.431840,146.771880,0.05801411,ok
15,332.346720,903.367424,407.012992,210.001856,130.544592,0.06155548,ok
16,326.510040,890.725568,390.859744,210.801392,137.883444,0.05819846,ok
17,334.310736,888.969651,374.652890,201.650413,160.293970,0.06295654,ok
18,318.027684,877.682413,378.183222,214.272603,139.343492,0.05753436,ok
19,317.007754,866.946821,358.082537,210.717505,155.354545,0.05780525,ok
20,314.017775,905.872814,391.643264,202.801323,149.899175,0.05906342,ok
21,322.952544,868.563723,366.052976,213.024211,147.553704,0.05728898,ok
22,325.318738,895.700113,394.271782,209.438340,138.196173,0.05778668,ok
23,323.240992,888.511790,385.224471,209.758132,142.485766,0.05732153,ok
24,317.048488,795.215171,403.080268,232.149978,144.849185,0.05784432,ok
25,322.784122,907.466193,370.429267,203.703095,146.406496,0.05727245,ok
26,326.162136,838.201648,391.251975,191.631216,143.411783,0.05792228,ok
27,319.770534,887.166412,376.140994,217.311804,146.705946,0.05724683,ok
28,326.471593,867.800835,383.355861,204.446293,154.817272,0.05807309,ok
29,320.138661,875.212018,379.476382,211.816026,143.211937,0.05721500,ok
30,320.017353,851.651548,374.015376,209.783922,151.965467,0.05721837,ok
