Iteration,sigma0,C1,gamma1,C2,gamma2,NRMSE_weighted,NRMSE_00,NRMSE_45,NRMSE_90,Status
1,326.000000,800.000000,400.000000,200.000000,150.000000,0.46927587,0.03949444,0.86735190,0.10290524,ok
2,374.900000,800.000000,400.000000,200.000000,150.000000,5.00000000,0.34086035,,0.25780995,partial_fail
3,326.000000,920.000000,400.000000,200.000000,150.000000,5.00000000,0.03973688,,0.10126038,partial_fail
4,326.000000,800.000000,460.000000,200.000000,150.000000,0.46861378,0.03935640,0.86538095,0.10433681,ok
5,326.000000,800.000000,400.000000,230.000000,150.000000,0.46980688,0.03968316,0.86885007,0.10184422,ok
6,326.000000,800.000000,400.000000,200.000000,172.500000,0.46881041,0.03931306,0.86607477,0.10377905,ok
7,345.560000,680.000000,424.000000,212.000000,159.000000,0.56026856,0.13962647,1.01378062,0.07388650,ok
8,284.924000,752.000000,433.600000,216.800000,162.600000,5.00000000,0.28513233,,0.37440930,partial_fail
9,352.406000,788.000000,408.400000,204.200000,153.150000,0.60911146,0.18748780,1.06856087,0.11183631,ok
10,307.418000,764.000000,425.200000,212.600000,159.450000,0.45086397,0.13313704,0.72404923,0.22222039,ok
11,284.924000,752.000000,433.600000,216.800000,162.600000,5.00000000,0.28513233,,0.37440930,partial_fail
12,299.007200,905.600000,410.080000,205.040000,153.780000,5.00000000,0.18650791,,0.27586531,partial_fail
13,333.921800,736.400000,420.520000,210.260000,157.695000,5.00000000,0.06753409,,0.06593070,partial_fail
14,316.709000,782.000000,442.600000,206.300000,154.725000,0.45637356,0.07467094,0.79468161,0.16146008,ok
15,316.709000,782.000000,412.600000,206.300000,165.975000,5.00000000,0.07441721,,0.16118737,partial_fail
16,316.709000,782.000000,412.600000,206.300000,154.725000,5.00000000,0.07395428,,0.16065865,partial_fail
17,316.709000,782.000000,412.600000,221.300000,154.725000,5.00000000,0.07342859,,0.16006503,partial_fail
18,326.489000,722.000000,424.600000,212.300000,159.225000,0.46971646,0.03946988,0.86883259,0.10173078,ok
19,316.904600,750.800000,434.440000,196.220000,162.915000,5.00000000,0.07442909,,0.16121706,partial_fail
20,316.757900,774.200000,418.060000,215.030000,156.772500,5.00000000,0.07369779,,0.16037557,partial_fail
21,312.063500,773.000000,433.900000,209.450000,157.087500,0.45335985,0.10312916,0.75935604,0.19159814,ok
22,316.953500,743.000000,424.900000,212.450000,159.337500,5.00000000,0.07333775,,0.15999238,partial_fail
23,312.063500,773.000000,418.900000,209.450000,162.712500,0.45336709,0.10300181,0.75949917,0.19146820,ok
24,312.063500,773.000000,418.900000,209.450000,157.087500,0.45340089,0.10273735,0.75983781,0.19119061,ok
25,312.063500,773.000000,418.900000,216.950000,157.087500,0.45343291,0.10244954,0.76019590,0.19089029,ok
26,305.315300,799.400000,421.420000,210.710000,158.032500,0.44987872,0.14637795,0.70877561,0.23558570,ok
27,299.496200,827.600000,419.680000,209.840000,157.380000,0.44722446,0.18476782,0.66500236,0.27412532,ok
28,305.178380,791.240000,427.732000,203.366000,160.399500,0.44975019,0.14800088,0.70688835,0.23722319,ok
29,302.424332,798.536000,431.264800,208.432400,161.724300,0.44846455,0.16619926,0.68607193,0.25551509,ok
30,298.568665,808.750400,436.210720,208.025360,155.704020,5.00000000,0.19177144,,0.28113763,partial_fail
31,308.689791,781.937600,423.227680,209.093840,160.960380,5.00000000,0.12468996,,0.21365790,partial_fail
32,300.960266,813.068000,425.472400,209.136200,159.552150,0.44783830,0.17547801,0.67552785,0.26481949,ok
33,302.337290,809.420000,423.706000,206.603000,158.889750,0.44846130,0.16633000,0.68593511,0.25564499,ok
34,303.457100,795.800000,422.440000,211.220000,158.415000,5.00000000,0.15881597,,0.24809960,partial_fail
35,305.779850,800.300000,426.790000,209.645000,157.233750,0.45009348,0.14344321,0.71215137,0.23262796,ok
36,305.779850,800.300000,419.290000,209.645000,160.046250,0.45009717,0.14336969,0.71223246,0.23255406,ok
37,302.284282,824.475200,423.535360,206.727680,158.825760,0.44845579,0.16643838,0.68581569,0.25575341,ok
38,298.563305,829.645280,428.383504,207.135752,156.706314,0.44678941,0.19135273,0.65754342,0.28071806,ok
39,294.955033,844.317920,432.930256,205.881128,155.036346,0.44524283,0.21558570,0.63021622,0.30495318,ok
40,294.233379,847.252448,423.339606,205.630203,158.639852,0.44494479,0.22033169,0.62487561,0.30969625,ok
