Iteration,sigma0,C1,gamma1,C2,gamma2,NRMSE_weighted,NRMSE_00,NRMSE_45,NRMSE_90,Status
1,326.000000,800.000000,400.000000,200.000000,150.000000,0.05853739,0.01478196,0.07868437,0.06199884,ok
2,374.900000,800.000000,400.000000,200.000000,150.000000,0.09386177,0.10312052,0.05682983,0.15866690,ok
3,326.000000,920.000000,400.000000,200.000000,150.000000,0.05848398,0.01498415,0.07820442,0.06254290,ok
4,326.000000,800.000000,460.000000,200.000000,150.000000,0.05858721,0.01461799,0.07910124,0.06152835,ok
5,326.000000,800.000000,400.000000,230.000000,150.000000,0.05850559,0.01492656,0.07836639,0.06236301,ok
6,326.000000,800.000000,400.000000,200.000000,172.500000,0.05856195,0.01464810,0.07895830,0.06168311,ok
7,277.100000,848.000000,424.000000,212.000000,159.000000,0.12268131,0.09567587,0.16870622,0.05763694,ok
8,350.450000,812.000000,406.000000,203.000000,152.250000,0.06491793,0.05480257,0.04792579,0.10901755,ok
9,301.550000,836.000000,418.000000,209.000000,156.750000,0.08085397,0.04762572,0.12211806,0.03155403,ok
10,338.225000,818.000000,409.000000,204.500000,153.375000,0.05933136,0.03171271,0.06033581,0.08494111,ok
11,313.775000,830.000000,415.000000,207.500000,155.625000,0.06671931,0.02530800,0.09974254,0.04208416,ok
12,332.112500,821.000000,410.500000,205.250000,153.937500,0.05819602,0.02146701,0.06902824,0.07326057,ok
13,328.445000,856.400000,344.200000,214.100000,160.575000,0.05814351,0.01728757,0.07397176,0.06734295,ok
14,329.667500,884.600000,286.300000,221.150000,165.862500,0.05815894,0.01962490,0.07113983,0.07073121,ok
15,329.423000,878.960000,381.880000,219.740000,133.305000,0.05812844,0.01864680,0.07223814,0.06939068,ok
16,331.134500,918.440000,372.820000,229.610000,113.707500,0.05826202,0.02183854,0.06880973,0.07359008,ok
17,330.792200,910.544000,374.632000,227.636000,149.127000,0.05816846,0.02049855,0.07010914,0.07195702,ok
18,332.709080,954.761600,364.484800,196.690400,148.777800,0.05834970,0.02336915,0.06724521,0.07553924,ok
19,335.392712,848.666240,350.278720,225.366560,148.288920,0.05880820,0.02782332,0.06337578,0.08065793,ok
20,328.348178,902.166560,387.569680,206.341640,149.572230,0.05815067,0.01704497,0.07430229,0.06695311,ok
21,326.939271,792.866624,395.027872,232.536656,149.828892,0.05831911,0.01557609,0.07679625,0.06410784,ok
22,328.381723,833.340368,387.392104,223.575092,149.566119,0.05815150,0.01701356,0.07434524,0.06690195,ok
23,326.043541,931.564371,339.769514,231.307093,142.920640,0.05838570,0.01562536,0.07698366,0.06395010,ok
24,330.595260,848.641093,392.817378,211.764273,151.183285,0.05812156,0.01963009,0.07100583,0.07084451,ok
25,327.285065,817.259208,382.911665,202.572402,148.553654,0.05827040,0.01579209,0.07633300,0.06462351,ok
26,329.915416,887.222802,376.701916,221.370101,148.983663,0.05812320,0.01912079,0.07163509,0.07010182,ok
27,330.309018,916.015814,365.875486,205.751313,147.881552,0.05813787,0.01972668,0.07094416,0.07093650,ok
28,331.126900,852.729324,357.020232,222.748635,147.199170,0.05818583,0.02089985,0.06968130,0.07248089,ok
29,329.042858,889.807251,379.932318,210.443389,148.978965,0.05812087,0.01789897,0.07313101,0.06832248,ok
30,331.269221,911.858784,414.682839,213.527630,131.557986,0.05818835,0.02098980,0.06958320,0.07259719,ok
31,329.151055,870.264696,361.820710,213.956908,153.320747,0.05811957,0.01808944,0.07289007,0.06860870,ok
32,328.942018,833.942523,391.385443,225.158555,146.427112,0.05812451,0.01767437,0.07342360,0.06797646,ok
