Iteration,sigma0,C1,gamma1,C2,gamma2,NRMSE_weighted,NRMSE_00,NRMSE_45,NRMSE_90,Status
1,326.000000,800.000000,400.000000,200.000000,150.000000,0.05954691,0.01399523,0.08405873,0.05607493,ok
2,374.900000,800.000000,400.000000,200.000000,150.000000,5.00000000,0.09662041,0.05340984,,partial_fail
3,326.000000,920.000000,400.000000,200.000000,150.000000,0.05954691,0.01399523,0.08405873,0.05607493,ok
4,326.000000,800.000000,460.000000,200.000000,150.000000,5.00000000,,0.08405873,0.05607493,partial_fail
5,326.000000,800.000000,400.000000,230.000000,150.000000,0.05954691,0.01399523,0.08405873,0.05607493,ok
6,326.000000,800.000000,400.000000,200.000000,172.500000,0.05954691,0.01399523,0.08405873,0.05607493,ok
7,345.560000,848.000000,340.000000,212.000000,159.000000,0.06063704,0.03906580,0.05534063,0.09280113,ok
8,284.924000,867.200000,376.000000,216.800000,162.600000,0.11394516,0.08644744,0.15978366,0.04976591,ok
9,307.418000,850.400000,382.000000,212.600000,159.450000,0.07720815,0.04239754,0.11718188,0.03207131,ok
10,352.406000,816.800000,394.000000,204.200000,153.150000,0.06408858,0.05219244,0.04890410,0.10635370,ok
11,341.159000,825.200000,391.000000,206.300000,154.725000,0.05917505,0.03092961,0.06077851,0.08421357,ok
12,312.503600,810.080000,456.400000,202.520000,151.890000,0.07119717,0.03291884,0.10784078,0.03618827,ok
13,337.295900,838.520000,369.100000,209.630000,157.222500,0.05832873,0.02420971,0.06615904,0.07678712,ok
14,336.581960,873.488000,384.040000,218.372000,132.279000,0.05821952,0.02304019,0.06720455,0.07542879,ok
15,341.872940,910.232000,376.060000,227.558000,112.168500,0.05937639,0.03222388,0.05984137,0.08559891,ok
16,340.814744,902.883200,377.656000,183.720800,147.690600,0.05908237,0.03031012,0.06123589,0.08354758,ok
17,346.740642,776.036480,368.718400,207.209120,146.766840,0.06112381,0.04129950,0.05403551,0.09512474,ok
18,331.185160,884.009120,392.179600,201.802280,149.191710,0.05802506,0.01571164,0.07552248,0.06534364,ok
19,348.814706,929.640128,365.590240,207.930032,146.443524,0.06208293,0.04525656,0.05192708,0.09922100,ok
20,331.703676,832.410032,391.397560,201.982508,149.110881,0.05798247,0.01624315,0.07469514,0.06629644,ok
21,329.873576,907.324141,374.749264,199.903035,139.472876,0.05820866,0.01460394,0.07763886,0.06295297,ok
22,325.841365,831.417317,386.930570,228.955129,143.220187,0.05962880,0.01406212,0.08432657,0.05579995,ok
23,337.071399,885.016729,379.974642,195.029382,146.572997,0.05829191,0.02383881,0.06648624,0.07635638,ok
24,329.270409,914.379209,399.836427,197.205682,129.428486,0.05833514,0.01423301,0.07862250,0.06186256,ok
25,335.289527,857.484802,376.784107,206.523921,150.273996,0.05806438,0.02100893,0.06913275,0.07298310,ok
26,328.782161,856.869709,387.685570,216.404115,141.558389,0.05845839,0.01400279,0.07942294,0.06098489,ok
27,334.999090,877.979974,381.902374,200.373066,145.319345,0.05803750,0.02056978,0.06957205,0.07243612,ok
28,328.638452,870.195228,382.765162,185.861924,161.068523,0.05849854,0.01394750,0.07965943,0.06072782,ok
29,334.596083,872.664807,383.721290,210.244481,139.476381,0.05800524,0.01997277,0.07018511,0.07167798,ok
30,337.235838,822.495353,395.644709,208.467467,153.876049,0.05831904,0.02411021,0.06624643,0.07667310,ok
31,331.714142,886.116944,379.973125,202.044143,143.073670,0.05798179,0.01625443,0.07467851,0.06631570,ok
32,330.389733,883.787549,394.885473,200.054670,140.194798,0.05812171,0.01499227,0.07680181,0.06389094,ok
33,334.064579,864.060489,381.309448,204.906608,147.754197,0.05797255,0.01920944,0.07099966,0.07068145,ok
34,330.306366,857.724583,389.530035,208.018942,146.123391,0.05813441,0.01492534,0.07693657,0.06373913,ok
35,333.825909,872.916126,383.809290,202.284535,145.520356,5.00000000,0.01887634,0.07136761,,partial_fail
36,332.889360,875.088716,380.641287,203.475376,145.413933,0.05794251,0.01763518,0.07282402,0.06848683,ok
37,332.884128,848.235260,386.353504,203.444558,148.432539,0.05794253,0.01762857,0.07283221,0.06847712,ok
38,334.330331,868.362648,382.515369,207.575544,143.615289,0.05798742,0.01958752,0.07059154,0.07117906,ok
39,332.624870,874.034804,386.744524,203.354444,148.472953,0.05794570,0.01730571,0.07323884,0.06799942,ok
40,334.531834,871.020231,381.605911,202.639837,146.536771,0.05800068,0.01987899,0.07028322,0.07155728,ok
41,332.185473,860.892536,385.419742,206.462775,146.938794,0.05795733,0.01678139,0.07393128,0.06718537,ok
42,331.529033,860.562074,385.672033,201.081960,151.189678,0.05799479,0.01605772,0.07497321,0.06597500,ok
43,333.630006,866.412504,383.304535,205.952148,145.508886,0.05795443,0.01860776,0.07167061,0.06986877,ok
44,331.620956,865.805040,387.675989,204.169112,146.152645,0.05798808,0.01615464,0.07482677,0.06614414,ok
45,333.453673,864.496627,382.901083,204.722234,147.353809,0.05794943,0.01836987,0.07194411,0.06953966,ok
46,334.007342,870.414629,382.558232,201.916729,147.134054,0.05796971,0.01912898,0.07108778,0.07057428,ok
47,332.640940,863.273059,384.704364,205.326264,146.987609,0.05794546,0.01732544,0.07321359,0.06802922,ok
48,332.167182,863.638882,385.233370,202.177002,149.155451,0.05795804,0.01676022,0.07396019,0.06715156,ok
49,333.264300,865.719099,383.786744,205.008362,146.420527,0.05794491,0.01811866,0.07223859,0.06918380,ok
