Time,Load,Stress,Strain
0,0,0,0
0.997,0.336,11.2,5.03E-05
1.998,0.878,29.26666667,1.03E-04
2.996,1.441,48.03333333,1.47E-04
3.995,1.898,63.26666667,1.85E-04
4.994,2.287,76.23333333,2.69E-04
5.993,2.659,88.63333333,3.51E-04
6.991,3.024,100.8,4.80E-04
7.991,3.379,112.6333333,4.31E-04
8.991,3.724,124.1333333,4.66E-04
9.989,4.058,135.2666667,5.25E-04
10.988,4.385,146.1666667,6.72E-04
11.988,4.703,156.7666667,7.33E-04
12.984,5.016,167.2,9.04E-04
13.985,5.328,177.6,8.51E-04
14.984,5.641,188.0333333,8.26E-04
15.983,5.95,198.3333333,8.86E-04
16.983,6.264,208.8,9.31E-04
17.981,6.574,219.1333333,8.83E-04
18.981,6.88,229.3333333,1.13E-03
19.979,7.175,239.1666667,1.36E-03
20.979,7.372,245.7333333,1.17E-03
21.979,7.583,252.7666667,1.08E-03
22.977,7.782,259.4,1.10E-03
23.974,7.956,265.2,1.42E-03
24.975,8.11,270.3333333,1.52E-03
25.974,8.002,266.7333333,1.45E-03
26.973,7.866,262.2,1.40E-03
27.971,7.709,256.9666667,1.44E-03
28.971,7.556,251.8666667,1.45E-03
29.968,7.485,249.5,1.41E-03
30.967,7.475,249.1666667,1.41E-03
31.966,7.48,249.3333333,1.33E-03
32.966,7.485,249.5,1.33E-03
33.967,7.482,249.4,1.28E-03
34.965,7.494,249.8,1.28E-03
35.964,7.512,250.4,1.27E-03
36.963,7.539,251.3,1.29E-03
37.96,7.561,252.0333333,1.20E-03
38.96,7.569,252.3,1.20E-03
39.96,7.576,252.5333333,1.21E-03
40.958,7.583,252.7666667,1.13E-03
41.957,7.596,253.2,1.14E-03
42.957,7.609,253.6333333,1.16E-03
43.957,7.621,254.0333333,1.10E-03
44.954,7.622,254.0666667,1.05E-03
45.955,7.589,252.9666667,1.05E-03
46.951,7.565,252.1666667,1.08E-03
47.951,7.56,252,1.08E-03
48.951,7.567,252.2333333,1.16E-03
49.949,7.584,252.8,1.33E-03
50.95,7.603,253.4333333,1.40E-03
51.948,7.62,254,1.45E-03
52.945,7.633,254.4333333,1.48E-03
53.945,7.64,254.6666667,1.21E-03
54.944,7.64,254.6666667,1.19E-03
55.944,7.64,254.6666667,1.16E-03
56.943,7.653,255.1,1.09E-03
57.941,7.667,255.5666667,1.09E-03
58.942,7.678,255.9333333,1.16E-03
59.939,7.68,256,1.22E-03
60.94,7.681,256.0333333,1.27E-03
61.939,7.675,255.8333333,1.35E-03
62.937,7.652,255.0666667,1.41E-03
63.936,7.634,254.4666667,1.44E-03
64.935,7.621,254.0333333,1.28E-03
65.935,7.611,253.7,1.27E-03
66.934,7.599,253.3,1.11E-03
67.931,7.588,252.9333333,1.18E-03
68.931,7.59,253,1.14E-03
69.931,7.59,253,1.15E-03
